ParName   Value   Gradient
log_rec_dev(1932)   -0.0432654 -1.79391e-06
log_rec_dev(1933)   -0.0445495  9.40246e-07
log_rec_dev(1934)    -0.045965  3.53052e-06
log_rec_dev(1935)   -0.0475244  1.14878e-06
log_rec_dev(1936)   -0.0491685  1.94551e-06
log_rec_dev(1937)   -0.0509799  3.04624e-06
log_rec_dev(1938)   -0.0529892  1.04827e-06
log_rec_dev(1939)   -0.0551974  4.01747e-06
log_rec_dev(1940)   -0.0575777  3.95294e-06
log_rec_dev(1941)   -0.0601676  2.46873e-06
log_rec_dev(1942)   -0.0629993  -9.1939e-07
log_rec_dev(1943)   -0.0660443 -1.17091e-06
log_rec_dev(1944)   -0.0693267  1.00876e-06
log_rec_dev(1945)    -0.072859  6.54456e-06
log_rec_dev(1946)   -0.0766352  7.35628e-07
log_rec_dev(1947)   -0.0806247  5.30685e-06
log_rec_dev(1948)   -0.0848103  2.42762e-07
log_rec_dev(1949)   -0.0891445  4.13347e-06
log_rec_dev(1950)   -0.0935231  4.65598e-06
log_rec_dev(1951)   -0.0978893  4.40403e-06
log_rec_dev(1952)    -0.102156  6.65549e-06
log_rec_dev(1953)    -0.106929  4.60226e-06
log_rec_dev(1954)    -0.111311  2.78717e-06
log_rec_dev(1955)     -0.11485  8.41942e-06
log_rec_dev(1956)    -0.117066  4.30485e-06
log_rec_dev(1957)    -0.117679   7.8569e-06
log_rec_dev(1958)    -0.115211  8.13944e-06
log_rec_dev(1959)    -0.109061  8.43399e-06
log_rec_dev(1960)   -0.0989102  1.22528e-05
log_rec_dev(1961)   -0.0797054  1.03584e-05
log_rec_dev(1962)   -0.0113211  8.92922e-06
log_rec_dev(1963)     0.137629  1.22923e-05
log_rec_dev(1964)     0.242684  1.11071e-05
log_rec_dev(1965)     0.230733  1.05686e-05
log_rec_dev(1966)     0.184273  1.16888e-05
log_rec_dev(1967)     0.150939  1.30973e-05
log_rec_dev(1968)    0.0684714  1.26345e-05
log_rec_dev(1969)   -0.0424447  8.07399e-06
log_rec_dev(1970)    -0.135586  1.07614e-05
log_rec_dev(1971)    -0.236195   1.1014e-05
log_rec_dev(1972)    -0.350338  9.95345e-06
log_rec_dev(1973)    -0.455202  8.56466e-06
log_rec_dev(1974)    -0.533459  9.08885e-06
log_rec_dev(1975)     -1.77503  3.81544e-06
log_rec_dev(1976)     -1.75665  3.30296e-06
log_rec_dev(1977)     -1.59875  3.69841e-06
log_rec_dev(1978)     -1.19716  7.20732e-06
log_rec_dev(1979)     0.679194  3.00564e-05
log_rec_dev(1980)      1.56712  3.38923e-05
log_rec_dev(1981)   -0.0778972  6.93332e-06
log_rec_dev(1982)      1.01833  1.55678e-05
log_rec_dev(1983)     0.917015  9.64964e-06
log_rec_dev(1984)     0.231562  3.69779e-06
log_rec_dev(1985)    -0.102353   2.9653e-06
log_rec_dev(1986)    -0.124217  1.35534e-06
log_rec_dev(1987)    -0.591039  1.22133e-07
log_rec_dev(1988)    -0.968537  1.40549e-06
log_rec_dev(1989)    -0.929946  8.79287e-07
log_rec_dev(1990)   -0.0231658   2.9714e-06
log_rec_dev(1991)     0.221946  3.89935e-06
log_rec_dev(1992)     0.101633 -7.86169e-07
log_rec_dev(1993)     0.514417  -1.5541e-05
log_rec_dev(1994)    -0.464231 -1.54066e-05
