ParName   Value   Gradient
log_rec_dev(1932)   -0.0421987 -7.33671e-07
log_rec_dev(1933)   -0.0435907 -9.41604e-07
log_rec_dev(1934)   -0.0451215 -8.99757e-07
log_rec_dev(1935)   -0.0468039 -6.43382e-07
log_rec_dev(1936)   -0.0485743 -3.42708e-07
log_rec_dev(1937)   -0.0505193 -2.62051e-07
log_rec_dev(1938)   -0.0526696 -3.17876e-07
log_rec_dev(1939)   -0.0550251 -4.29975e-07
log_rec_dev(1940)   -0.0575562 -5.91314e-07
log_rec_dev(1941)   -0.0603008 -5.54832e-07
log_rec_dev(1942)   -0.0632911 -4.03324e-07
log_rec_dev(1943)   -0.0664955 -2.64689e-07
log_rec_dev(1944)   -0.0699377 -2.94997e-08
log_rec_dev(1945)   -0.0736285 -3.98772e-07
log_rec_dev(1946)   -0.0775592 -4.76793e-07
log_rec_dev(1947)   -0.0816964 -3.98676e-07
log_rec_dev(1948)   -0.0860194 -2.31504e-07
log_rec_dev(1949)   -0.0904766 -3.79133e-07
log_rec_dev(1950)   -0.0949596 -2.73931e-07
log_rec_dev(1951)    -0.099407  1.54024e-07
log_rec_dev(1952)    -0.103726  -3.1335e-08
log_rec_dev(1953)     -0.10845 -1.96527e-07
log_rec_dev(1954)    -0.112712 -2.25307e-07
log_rec_dev(1955)    -0.116064  6.01155e-08
log_rec_dev(1956)    -0.118011  4.26922e-07
log_rec_dev(1957)    -0.118199 -2.32672e-07
log_rec_dev(1958)    -0.115139 -1.23891e-07
log_rec_dev(1959)    -0.107953  1.38989e-07
log_rec_dev(1960)    -0.095325 -4.66622e-08
log_rec_dev(1961)   -0.0664502   4.3341e-08
log_rec_dev(1962)    0.0212775 -2.04746e-07
log_rec_dev(1963)     0.163732  1.87056e-07
log_rec_dev(1964)      0.25555  8.49927e-08
log_rec_dev(1965)     0.248597  5.33564e-07
log_rec_dev(1966)     0.217734  5.84921e-07
log_rec_dev(1967)     0.179325  3.60305e-07
log_rec_dev(1968)    0.0914435  8.09081e-07
log_rec_dev(1969)   -0.0135046  6.62353e-07
log_rec_dev(1970)    -0.109855 -4.33995e-10
log_rec_dev(1971)    -0.217605 -6.69551e-08
log_rec_dev(1972)    -0.334269 -1.45779e-07
log_rec_dev(1973)    -0.439127 -4.85895e-07
log_rec_dev(1974)     -0.51841 -6.29674e-07
log_rec_dev(1975)     -1.73949 -2.73167e-07
log_rec_dev(1976)     -1.70658 -4.84278e-07
log_rec_dev(1977)     -1.54277 -7.25008e-07
log_rec_dev(1978)     -1.15602 -8.68226e-07
log_rec_dev(1979)      0.68812 -1.19398e-06
log_rec_dev(1980)      1.58808 -3.69619e-07
log_rec_dev(1981)   -0.0397136 -5.74868e-07
log_rec_dev(1982)       1.0757 -5.34239e-06
log_rec_dev(1983)     0.954523 -7.72064e-06
log_rec_dev(1984)     0.251552  -6.0021e-06
log_rec_dev(1985)   -0.0709297 -4.86503e-06
log_rec_dev(1986)    -0.162367  -6.4651e-06
log_rec_dev(1987)    -0.638558 -4.56567e-06
log_rec_dev(1988)      -1.0109 -4.98115e-06
log_rec_dev(1989)    -0.975353 -4.36587e-06
log_rec_dev(1990)   -0.0689798 -3.76605e-06
log_rec_dev(1991)     0.360454 -3.22465e-06
log_rec_dev(1992)    0.0176769 -9.34208e-07
log_rec_dev(1993)     0.512499  9.06222e-07
log_rec_dev(1994)    -0.555672  6.93447e-07
log_rec_dev(1995)    -0.565731  9.12429e-07
log_rec_dev(1996)   -0.0577025  1.88052e-06
log_rec_dev(1997)     0.548436  3.11196e-06
log_rec_dev(1998)    -0.351456  1.39685e-06
log_rec_dev(1999)     0.910277  1.07584e-05
log_rec_dev(2000)     0.142763  3.83605e-06
log_rec_dev(2001)   -0.0532995  3.79632e-06
log_rec_dev(2002)       1.1414  1.07319e-05
log_rec_dev(2003)      0.12926  3.21644e-06
log_rec_dev(2004)    -0.411273  1.01567e-06
log_rec_dev(2005)   -0.0111275  1.42011e-07
log_rec_dev(2006)    -0.619451 -5.42928e-07
log_rec_dev(2007)    -0.226907 -1.48529e-06
log_rec_dev(2008)    -0.169088 -1.44767e-06
log_rec_dev(2009)   -0.0236882 -3.20289e-06
log_rec_dev(2010)     0.458387 -3.62065e-06
log_rec_dev(2011)    -0.432066 -1.91516e-06
log_rec_dev(2012)    -0.259068 -9.49669e-07
log_rec_dev(2013)     -1.14205  9.13758e-07
log_rec_dev(2014)    -0.548868  1.09624e-06
log_rec_dev(2015)     0.107671  2.02353e-06
log_rec_dev(2016)      1.34371  4.16127e-06
log_rec_dev(2017)     0.627806  3.40468e-06
log_rec_dev(2018)      2.08696  1.17174e-05
log_rec_dev(2019)      1.89517   6.2014e-06
log_rec_dev(2020)     0.061451   1.6159e-07
log_rec_dev(2021)      2.10296   7.7701e-07
log_rec_dev(2022)     0.357232 -5.96028e-07
log_mean_rec      3.13716  2.21377e-05
logm     -2.30231 -3.10854e-06
log_avg_F_fish1     -3.04672  5.20887e-06
log_F_devs_fish1(1960)      -2.1783  5.06247e-07
log_F_devs_fish1(1961)    -0.517381  6.85799e-07
log_F_devs_fish1(1962)    0.0113923  2.42021e-07
log_F_devs_fish1(1963)      -0.8731  3.42651e-07
log_F_devs_fish1(1964)     -2.03354  1.66315e-07
log_F_devs_fish1(1965)     -3.34083  2.66076e-07
log_F_devs_fish1(1966)     -1.91684  1.19569e-07
log_F_devs_fish1(1967)     -1.89701 -1.03313e-07
log_F_devs_fish1(1968)    -0.839817  8.77662e-08
log_F_devs_fish1(1969)     -0.49858  -7.0936e-07
log_F_devs_fish1(1970)   -0.0751154 -3.52266e-07
log_F_devs_fish1(1971)   -0.0115363 -3.70334e-07
log_F_devs_fish1(1972)     0.284835 -3.45458e-07
log_F_devs_fish1(1973)     0.165009 -2.19391e-08
log_F_devs_fish1(1974)     0.338046  -1.1339e-06
log_F_devs_fish1(1975)     0.326451  9.95357e-07
log_F_devs_fish1(1976)     0.502547  2.06931e-07
log_F_devs_fish1(1977)     0.302512 -1.46684e-06
log_F_devs_fish1(1978)     -0.34639  8.53503e-08
log_F_devs_fish1(1979)    -0.150599 -7.92192e-07
log_F_devs_fish1(1980)    -0.326374 -8.22957e-07
log_F_devs_fish1(1981)     -0.15788 -5.61172e-07
log_F_devs_fish1(1982)    -0.376796 -3.01316e-07
log_F_devs_fish1(1983)    -0.462829 -2.87594e-08
log_F_devs_fish1(1984)    -0.513781  1.51351e-06
log_F_devs_fish1(1985)    -0.349275  8.77817e-07
log_F_devs_fish1(1986)     0.128793  1.18851e-06
log_F_devs_fish1(1987)     0.412101  1.29774e-06
log_F_devs_fish1(1988)     0.559637  2.54579e-06
log_F_devs_fish1(1989)     0.619295  1.60884e-06
log_F_devs_fish1(1990)     0.644867  9.08379e-07
log_F_devs_fish1(1991)     0.620704  1.21156e-06
log_F_devs_fish1(1992)     0.562795   3.7701e-07
log_F_devs_fish1(1993)     0.679369 -5.37885e-07
log_F_devs_fish1(1994)     0.630888 -9.89869e-07
log_F_devs_fish1(1995)     0.536047 -1.05329e-06
log_F_devs_fish1(1996)     0.437181 -1.49236e-06
log_F_devs_fish1(1997)     0.369978 -1.57381e-06
log_F_devs_fish1(1998)     0.382458 -1.37229e-06
log_F_devs_fish1(1999)     0.334396 -1.54549e-06
log_F_devs_fish1(2000)     0.506814  1.57975e-07
log_F_devs_fish1(2001)     0.376257  -1.0052e-06
log_F_devs_fish1(2002)     0.380791 -8.54706e-08
log_F_devs_fish1(2003)     0.514293  4.31641e-08
log_F_devs_fish1(2004)     0.538506 -1.09753e-06
log_F_devs_fish1(2005)     0.448498 -2.68484e-08
log_F_devs_fish1(2006)     0.424337 -3.28918e-07
log_F_devs_fish1(2007)     0.484655 -6.35367e-08
log_F_devs_fish1(2008)     0.440807  5.60831e-07
log_F_devs_fish1(2009)     0.380053  8.76652e-07
log_F_devs_fish1(2010)     0.327481  3.73361e-07
log_F_devs_fish1(2011)     0.431848 -3.71046e-07
log_F_devs_fish1(2012)     0.505473 -7.44498e-07
log_F_devs_fish1(2013)     0.510248 -6.74943e-07
log_F_devs_fish1(2014)     0.375096 -1.64217e-07
log_F_devs_fish1(2015)     0.380182  2.81832e-08
log_F_devs_fish1(2016)     0.295344 -6.12219e-07
log_F_devs_fish1(2017)     0.359796  1.91605e-07
log_F_devs_fish1(2018)     0.244294 -2.00368e-07
log_F_devs_fish1(2019)     0.104819  -4.0789e-07
log_F_devs_fish1(2020)    -0.165842  7.97294e-07
log_F_devs_fish1(2021)  -0.00649514   8.1104e-07
log_F_devs_fish1(2022)     0.160534  6.91513e-07
log_F_devs_fish1(2023)  -0.00111939   7.2351e-07
log_avg_F_fish3     -4.21997  3.60807e-05
log_F_devs_fish3(1963)     0.122106  9.03847e-07
log_F_devs_fish3(1964)    -0.333604  2.24055e-07
log_F_devs_fish3(1965)     0.311542  1.07799e-07
log_F_devs_fish3(1966)     0.704487 -4.20111e-08
log_F_devs_fish3(1967)      0.95125 -1.41396e-07
log_F_devs_fish3(1968)      1.20903   -8.139e-08
log_F_devs_fish3(1969)      1.30659 -2.05259e-07
log_F_devs_fish3(1970)     0.996087 -1.32609e-07
