ParName   Value   Gradient
logit_sexRatio     0.295715  1.05354e-05
log_rec_dev(1932)   -0.0447303 -1.95904e-06
log_rec_dev(1933)   -0.0460228  -1.6286e-06
log_rec_dev(1934)   -0.0474461 -1.44233e-06
log_rec_dev(1935)   -0.0490127 -1.13736e-06
log_rec_dev(1936)   -0.0506487 -1.46003e-06
log_rec_dev(1937)   -0.0524501  -1.2878e-06
log_rec_dev(1938)   -0.0544498 -1.69912e-06
log_rec_dev(1939)   -0.0566458 -1.67727e-06
log_rec_dev(1940)   -0.0590025 -1.88382e-06
log_rec_dev(1941)   -0.0615606 -2.02204e-06
log_rec_dev(1942)   -0.0643543 -1.65761e-06
log_rec_dev(1943)   -0.0673446 -1.04875e-06
log_rec_dev(1944)   -0.0705553 -1.06452e-06
log_rec_dev(1945)   -0.0739979 -1.37781e-06
log_rec_dev(1946)   -0.0776612 -1.09062e-06
log_rec_dev(1947)   -0.0815069 -1.62369e-06
log_rec_dev(1948)   -0.0855132 -1.14434e-06
log_rec_dev(1949)   -0.0896274  6.18096e-08
log_rec_dev(1950)   -0.0937303 -4.86957e-07
log_rec_dev(1951)   -0.0977673 -2.71052e-07
log_rec_dev(1952)    -0.101657 -8.00815e-08
log_rec_dev(1953)    -0.105934 -7.85668e-08
log_rec_dev(1954)    -0.109738 -3.03066e-09
log_rec_dev(1955)     -0.11262  3.88488e-07
log_rec_dev(1956)    -0.114115   4.2132e-07
log_rec_dev(1957)    -0.113905  7.15578e-07
log_rec_dev(1958)    -0.110676 -5.16995e-07
log_rec_dev(1959)    -0.103794  4.00235e-07
log_rec_dev(1960)   -0.0933104  6.90822e-07
log_rec_dev(1961)   -0.0765181  1.90633e-06
log_rec_dev(1962)    -0.022138  7.36211e-07
log_rec_dev(1963)     0.119818  5.15303e-07
log_rec_dev(1964)     0.226746  1.05105e-06
log_rec_dev(1965)     0.218785  1.00858e-06
log_rec_dev(1966)      0.16702  -2.9892e-07
log_rec_dev(1967)     0.133795 -6.66681e-07
log_rec_dev(1968)    0.0573107   -3.741e-07
log_rec_dev(1969)   -0.0543861 -1.48802e-06
log_rec_dev(1970)    -0.146072 -1.24661e-06
log_rec_dev(1971)    -0.242562 -1.75019e-06
log_rec_dev(1972)    -0.352188 -6.59478e-07
log_rec_dev(1973)    -0.454373 -1.75296e-06
log_rec_dev(1974)    -0.529197 -2.35926e-06
