ParName   Value   Gradient
log_rec_dev(1932)   -0.0688529   0.00417998
log_rec_dev(1933)   -0.0707138   0.00503929
log_rec_dev(1934)     -0.07275   0.00380516
log_rec_dev(1935)   -0.0749395   0.00467294
log_rec_dev(1936)   -0.0774139   0.00435244
log_rec_dev(1937)   -0.0799704   0.00450707
log_rec_dev(1938)   -0.0826577   0.00440691
log_rec_dev(1939)   -0.0853859   0.00421528
log_rec_dev(1940)    -0.088226   0.00500011
log_rec_dev(1941)   -0.0911319    0.0042609
log_rec_dev(1942)   -0.0942026    0.0032945
log_rec_dev(1943)   -0.0973984   0.00455356
log_rec_dev(1944)    -0.100653    0.0040458
log_rec_dev(1945)    -0.104123   0.00368613
log_rec_dev(1946)    -0.107809   0.00489866
log_rec_dev(1947)    -0.111559   0.00426935
log_rec_dev(1948)    -0.115146   0.00435833
log_rec_dev(1949)    -0.118953   0.00318853
log_rec_dev(1950)    -0.123272   0.00363085
log_rec_dev(1951)     -0.12769   0.00280592
log_rec_dev(1952)    -0.132014   0.00354419
log_rec_dev(1953)    -0.136523   0.00368077
log_rec_dev(1954)    -0.140636   0.00405591
log_rec_dev(1955)    -0.143697   0.00358346
log_rec_dev(1956)    -0.146818   0.00302352
log_rec_dev(1957)    -0.148553    0.0035007
log_rec_dev(1958)    -0.147277    0.0025444
log_rec_dev(1959)    -0.142144   0.00352923
log_rec_dev(1960)    -0.134409   0.00348334
log_rec_dev(1961)    -0.120957   0.00357199
log_rec_dev(1962)    -0.056229   0.00231675
log_rec_dev(1963)    0.0853165   0.00293639
log_rec_dev(1964)     0.166751   0.00143327
log_rec_dev(1965)     0.148336    0.0020767
log_rec_dev(1966)     0.113287  0.000664194
log_rec_dev(1967)    0.0904097  0.000134903
log_rec_dev(1968)   0.00888871 -0.000241709
log_rec_dev(1969)   -0.0966352  -0.00154895
log_rec_dev(1970)    -0.177144  -0.00313383
log_rec_dev(1971)    -0.269647  -0.00344405
log_rec_dev(1972)    -0.372508   -0.0051267
log_rec_dev(1973)    -0.452494  -0.00650231
log_rec_dev(1974)    -0.499082  -0.00728699
log_rec_dev(1975)     -1.70507 -5.39683e-05
log_rec_dev(1976)       -1.618  0.000364715
log_rec_dev(1977)     -1.40807  -0.00217557
log_rec_dev(1978)     -1.04436  -0.00562652
log_rec_dev(1979)      1.05605   -0.0714473
log_rec_dev(1980)     0.983185   -0.0240712
log_rec_dev(1981)     -0.26004  -0.00827691
log_rec_dev(1982)      1.22341   -0.0305947
log_rec_dev(1983)     0.947279   -0.0254489
log_rec_dev(1984)    -0.605648 -0.000614175
log_rec_dev(1985)     0.206934  -0.00975767
log_rec_dev(1986)     0.129479   -0.0172842
log_rec_dev(1987)     -1.04442  -0.00264133
log_rec_dev(1988)    -0.570749  -0.00533683
log_rec_dev(1989)    -0.586488  -0.00715339
log_rec_dev(1990)    -0.295087   0.00213674
log_rec_dev(1991)     0.376222      0.01509
log_rec_dev(1992)     0.335208   0.00889282
log_rec_dev(1993)    0.0837269    0.0139682
log_rec_dev(1994)   -0.0275867   0.00217783
log_rec_dev(1995)    -0.668875   0.00459975
log_rec_dev(1996)    0.0796818   -0.0029246
log_rec_dev(1997)     0.406338 -0.000192905
log_rec_dev(1998)    -0.123117   0.00116561
log_rec_dev(1999)     0.844686 -0.000536297
log_rec_dev(2000)     0.152911   0.00100353
log_rec_dev(2001)    0.0276435  0.000903559
log_rec_dev(2002)      1.15598    0.0149011
log_rec_dev(2003)   -0.0260233   0.00281364
log_rec_dev(2004)    -0.297529   0.00716065
log_rec_dev(2005)   -0.0368366    0.0029386
log_rec_dev(2006)    -0.435666   0.00386485
log_rec_dev(2007)    -0.297808   0.00279569
log_rec_dev(2008)    -0.094881   0.00154229
log_rec_dev(2009)   -0.0490422  -0.00222904
log_rec_dev(2010)     0.610406   -0.0076921
log_rec_dev(2011)      -1.0315   0.00439451
log_rec_dev(2012)   -0.0846578 -0.000249138
log_rec_dev(2013)     -1.45039   0.00611236
log_rec_dev(2014)  -0.00269052   0.00336147
log_rec_dev(2015)    0.0900884   0.00475849
log_rec_dev(2016)      1.69155  -0.00468956
log_rec_dev(2017)     0.593586   0.00131921
log_rec_dev(2018)      2.41077   -0.0140785
log_rec_dev(2019)      1.70295  -0.00370428
log_rec_dev(2020)     0.448664 -0.000571811
log_rec_dev(2021)      2.05793  -0.00121088
log_rec_dev(2022)     0.746474   0.00612146
log_mean_rec      3.10601    -0.263686
logm     -2.42167    0.0783108
log_avg_F_fish1     -3.15585    0.0337265
log_F_devs_fish1(1960)     -2.16114  -0.00195246
log_F_devs_fish1(1961)    -0.499814  -0.00256402
log_F_devs_fish1(1962)    0.0282439 -0.000954597
log_F_devs_fish1(1963)    -0.856722 -0.000896191
log_F_devs_fish1(1964)     -2.01402  -0.00145001
log_F_devs_fish1(1965)     -3.31584 -0.000847018
log_F_devs_fish1(1966)      -1.8847  0.000831901
log_F_devs_fish1(1967)     -1.85698  0.000571962
log_F_devs_fish1(1968)     -0.79137  0.000707929
log_F_devs_fish1(1969)    -0.443649   0.00087187
log_F_devs_fish1(1970)   -0.0147281   0.00305712
log_F_devs_fish1(1971)    0.0525487   0.00279123
log_F_devs_fish1(1972)     0.351867   0.00305493
log_F_devs_fish1(1973)     0.231174    0.0018233
log_F_devs_fish1(1974)     0.403385   0.00274966
log_F_devs_fish1(1975)     0.387753   0.00321057
log_F_devs_fish1(1976)     0.556443   0.00273076
log_F_devs_fish1(1977)     0.348272   0.00244633
log_F_devs_fish1(1978)    -0.311078  0.000167327
log_F_devs_fish1(1979)    -0.125809 -0.000443838
log_F_devs_fish1(1980)    -0.312225   0.00179041
log_F_devs_fish1(1981)    -0.205957   0.00267925
log_F_devs_fish1(1982)    -0.380033   0.00154228
log_F_devs_fish1(1983)    -0.410091  0.000530777
log_F_devs_fish1(1984)     -0.46306  -0.00085401
log_F_devs_fish1(1985)    -0.298124  -0.00242762
log_F_devs_fish1(1986)     0.212665 -0.000309999
log_F_devs_fish1(1987)     0.506128 -0.000732638
log_F_devs_fish1(1988)      0.64247  0.000751506
log_F_devs_fish1(1989)     0.698782   0.00143577
log_F_devs_fish1(1990)     0.715393   0.00210732
log_F_devs_fish1(1991)     0.673213  -0.00235086
log_F_devs_fish1(1992)     0.604909   -0.0039293
log_F_devs_fish1(1993)     0.711124  -0.00366444
log_F_devs_fish1(1994)     0.639652  -0.00380628
log_F_devs_fish1(1995)     0.548407  -0.00132484
log_F_devs_fish1(1996)     0.381946 -0.000695803
log_F_devs_fish1(1997)     0.272971 -0.000866107
log_F_devs_fish1(1998)     0.274008 -0.000598669
log_F_devs_fish1(1999)     0.212649  -0.00192449
log_F_devs_fish1(2000)      0.41368  0.000565232
log_F_devs_fish1(2001)      0.24844   0.00125015
log_F_devs_fish1(2002)     0.239142  0.000975754
log_F_devs_fish1(2003)      0.40074  -0.00146259
log_F_devs_fish1(2004)     0.441633 -0.000990139
log_F_devs_fish1(2005)     0.350623  -0.00117068
log_F_devs_fish1(2006)     0.360758  -0.00125643
log_F_devs_fish1(2007)     0.415215 -0.000706713
log_F_devs_fish1(2008)     0.362314  -0.00135356
log_F_devs_fish1(2009)     0.322066 -0.000151222
log_F_devs_fish1(2010)     0.280637 -0.000351231
log_F_devs_fish1(2011)     0.434454  0.000597572
log_F_devs_fish1(2012)       0.5321  0.000217216
log_F_devs_fish1(2013)     0.522291   0.00104228
log_F_devs_fish1(2014)     0.363315  0.000679128
log_F_devs_fish1(2015)     0.345458    0.0015313
log_F_devs_fish1(2016)      0.26969  0.000624466
log_F_devs_fish1(2017)     0.292405  -0.00187213
log_F_devs_fish1(2018)     0.174441   0.00135848
log_F_devs_fish1(2019)    0.0428414  -0.00465114
log_F_devs_fish1(2020)    -0.220475  -0.00058139
log_F_devs_fish1(2021)   -0.0190945   0.00185523
log_F_devs_fish1(2022)     0.242664   0.00062473
log_F_devs_fish1(2023)    0.0759878  -0.00462556
log_avg_F_fish3     -4.21921   -0.0549849
log_F_devs_fish3(1963)     0.132414    0.0011939
log_F_devs_fish3(1964)    -0.314184 -0.000619874
log_F_devs_fish3(1965)     0.343065    0.0011233
log_F_devs_fish3(1966)     0.748348   0.00178651
log_F_devs_fish3(1967)      1.00632  0.000354044
log_F_devs_fish3(1968)      1.27335  0.000813294
log_F_devs_fish3(1969)      1.37722  0.000737934
log_F_devs_fish3(1970)      1.06904   0.00192562
log_F_devs_fish3(1971)      1.42957   0.00283591
log_F_devs_fish3(1972)      1.68055   0.00343228
log_F_devs_fish3(1973)      1.17998   0.00344545
log_F_devs_fish3(1974)     0.837249  2.67761e-05
log_F_devs_fish3(1975)     0.582394  0.000186738
log_F_devs_fish3(1976)      0.61502   0.00219667
log_F_devs_fish3(1977)    -0.227011   0.00022903
log_F_devs_fish3(1978)    -0.893196   0.00156963
log_F_devs_fish3(1979)    -0.639212   0.00122246
log_F_devs_fish3(1980)     -0.37437  -0.00216348
log_F_devs_fish3(1981)    -0.664436  -0.00226384
log_F_devs_fish3(1982)    -0.635643  -0.00326208
log_F_devs_fish3(1983)    -0.852045  -0.00372252
log_F_devs_fish3(1984)    -0.087498   -0.0041917
log_F_devs_fish3(1985)     -1.08398 -0.000519758
log_F_devs_fish3(1986)     0.463607  -0.00196056
log_F_devs_fish3(1987)     0.522267  -0.00395191
log_F_devs_fish3(1988)     0.762807  -0.00105752
log_F_devs_fish3(1989)     0.626849 -0.000146263
log_F_devs_fish3(1990)     0.267121   0.00167812
log_F_devs_fish3(1991)   -0.0656945  0.000132925
log_F_devs_fish3(1992)   -0.0576585  5.09035e-05
log_F_devs_fish3(1993)    -0.141041  0.000384422
log_F_devs_fish3(1994)    0.0782185  1.99334e-05
log_F_devs_fish3(1995)    0.0125975  0.000947092
log_F_devs_fish3(1996)    -0.187748  0.000976014
log_F_devs_fish3(1997)    -0.465383 -7.77436e-05
log_F_devs_fish3(1998)    -0.531437   0.00153622
log_F_devs_fish3(1999)    -0.239411    0.0011185
log_F_devs_fish3(2000)    -0.189267  0.000653512
log_F_devs_fish3(2001)     -0.36324  -0.00109397
log_F_devs_fish3(2002)    -0.182377 -0.000936103
log_F_devs_fish3(2003)     -0.27576  0.000905404
log_F_devs_fish3(2004)    -0.506155  -0.00200176
log_F_devs_fish3(2005)    -0.604017  2.02887e-05
log_F_devs_fish3(2006)    -0.798216 -0.000461644
log_F_devs_fish3(2007)    -0.793308 -0.000408671
log_F_devs_fish3(2008)    -0.858309  0.000789688
log_F_devs_fish3(2009)    -0.858047  0.000970155
log_F_devs_fish3(2010)    -0.864342  0.000377302
log_F_devs_fish3(2011)    -0.623026  0.000628783
log_F_devs_fish3(2012)     -0.62129  -0.00023841
log_F_devs_fish3(2013)    -0.674466  0.000781267
log_F_devs_fish3(2014)    -0.673632   0.00027795
log_F_devs_fish3(2015)    -0.597393  0.000306255
log_F_devs_fish3(2016)     -0.36595   0.00176858
log_F_devs_fish3(2017)    0.0845721 -0.000277743
log_F_devs_fish3(2018)     0.457598 -0.000472049
log_F_devs_fish3(2019)     0.547945  -0.00436722
log_F_devs_fish3(2020)     0.700687  -0.00331155
log_F_devs_fish3(2021)    0.0967486 -0.000439362
log_F_devs_fish3(2022)     0.139032  -0.00279284
log_F_devs_fish3(2023)     0.274163 -0.000967215
log_q_srv1      1.88997   -0.0696651
log_q_srv2      1.63639   -0.0632806
log_q_srv6      1.44805  -0.00916889
log_q_srv7    -0.237904   0.00745579
log_q_srv8     -6.62154    0.0194468
log_q_LL_fish_recent     -7.16111  -0.00218272
log_a50_fish3_f      2.22291   0.00579535
log_delta_fish3_f      2.07697   -0.0166843
log_a50_fish3_m      2.13891      10.4222
log_a50_fish4_f       1.0441   0.00253543
log_delta_fish4_f      1.39685  -0.00138353
log_a50_fish4_m     0.925308    0.0113334
log_delta_fish4_m      1.25714    0.0010169
log_a50_fish5_f     0.741507 -0.000500698
log_delta_fish5_f      1.28858  0.000651031
log_a50_fish5_m      1.11996 -2.25854e-05
log_delta_fish5_m     0.149258 -0.000905064
log_a50_srv1_f     0.774249   0.00803227
log_delta_srv1_f      1.35466  -0.00685052
log_a50_srv1_m      1.08198  -0.00309354
log_delta_srv1_m     0.157756  0.000446264
log_a50_srv7_f     -1.05011  -0.00408155
log_a50_srv7_m     -1.33865 -0.000853917
log_a50_srv10_f     0.594248   0.00158349
log_delta_srv10_f      1.12142  -0.00106954
log_a50_srv10_m     0.878345   0.00468078
log_delta_srv10_m     0.392482  0.000630945
