ParName   Value   Gradient
logit_sexRatio     0.307044 -1.85101e-06
log_rec_dev(1932)     -0.06308 -3.74852e-07
log_rec_dev(1933)   -0.0646579 -4.43343e-07
log_rec_dev(1934)   -0.0663817 -3.07966e-07
log_rec_dev(1935)   -0.0682574 -2.45087e-07
log_rec_dev(1936)    -0.070407 -1.76486e-07
log_rec_dev(1937)   -0.0726232 -3.00686e-07
log_rec_dev(1938)   -0.0749411 -1.86534e-07
log_rec_dev(1939)   -0.0772801 -3.79502e-07
log_rec_dev(1940)   -0.0797125 -2.53123e-07
log_rec_dev(1941)   -0.0822017 -2.29318e-07
log_rec_dev(1942)   -0.0848404 -3.57151e-07
log_rec_dev(1943)   -0.0876324 -3.75677e-07
log_rec_dev(1944)    -0.090456 -3.55035e-07
log_rec_dev(1945)   -0.0935016  -1.2846e-07
log_rec_dev(1946)   -0.0967472  1.40809e-08
log_rec_dev(1947)    -0.100061 -4.40063e-08
log_rec_dev(1948)    -0.103217 -1.78097e-07
log_rec_dev(1949)    -0.106578    5.206e-08
log_rec_dev(1950)    -0.110438  2.72136e-07
log_rec_dev(1951)    -0.114423  2.14859e-07
log_rec_dev(1952)     -0.11844  4.33146e-07
log_rec_dev(1953)    -0.122608  6.05627e-07
log_rec_dev(1954)    -0.126385  8.67331e-07
log_rec_dev(1955)    -0.129186  1.07291e-06
log_rec_dev(1956)    -0.132236  1.35564e-06
log_rec_dev(1957)    -0.133979  1.47964e-06
log_rec_dev(1958)    -0.132748  1.61815e-06
log_rec_dev(1959)    -0.127877  1.65029e-06
log_rec_dev(1960)    -0.120931  1.86377e-06
log_rec_dev(1961)    -0.109675  2.08319e-06
log_rec_dev(1962)   -0.0751687  1.86887e-06
log_rec_dev(1963)    0.0648567  1.92228e-06
log_rec_dev(1964)     0.157569  2.24581e-06
log_rec_dev(1965)      0.14292  1.25619e-06
log_rec_dev(1966)    0.0873055  7.20912e-07
log_rec_dev(1967)    0.0623864 -2.14915e-07
log_rec_dev(1968)   -0.0087696 -1.73629e-07
log_rec_dev(1969)    -0.122297 -4.18746e-07
log_rec_dev(1970)    -0.201595  -6.3005e-07
log_rec_dev(1971)    -0.286098 -1.03401e-06
log_rec_dev(1972)    -0.380854 -1.23665e-06
log_rec_dev(1973)    -0.457395  -9.8244e-07
log_rec_dev(1974)    -0.496279 -8.21381e-07
log_rec_dev(1975)     -1.68211 -3.72026e-07
log_rec_dev(1976)     -1.60784 -8.76591e-07
log_rec_dev(1977)     -1.40537 -1.02418e-06
log_rec_dev(1978)     -1.01331 -1.07598e-06
log_rec_dev(1979)      1.02123 -7.51677e-06
log_rec_dev(1980)      1.02222 -3.53492e-06
log_rec_dev(1981)    -0.257786 -5.59736e-07
