ParName   Value   Gradient
log_rec_dev(1932)   -0.0516888  2.71258e-07
log_rec_dev(1933)    -0.053303 -1.36898e-08
log_rec_dev(1934)   -0.0550664  2.66422e-07
log_rec_dev(1935)   -0.0569855 -9.47762e-08
log_rec_dev(1936)   -0.0591649 -1.87804e-07
log_rec_dev(1937)   -0.0614249  1.75342e-07
log_rec_dev(1938)   -0.0638067  7.43888e-08
log_rec_dev(1939)   -0.0662254 -4.67084e-08
log_rec_dev(1940)   -0.0687518  1.34916e-07
log_rec_dev(1941)   -0.0713273  2.99329e-07
log_rec_dev(1942)   -0.0740546  4.95615e-08
log_rec_dev(1943)   -0.0769072  4.03251e-08
log_rec_dev(1944)   -0.0797978  -5.8778e-08
log_rec_dev(1945)   -0.0828913   -1.912e-07
log_rec_dev(1946)   -0.0861952 -3.56999e-08
log_rec_dev(1947)   -0.0895356  1.45073e-08
log_rec_dev(1948)   -0.0927039 -1.40166e-07
log_rec_dev(1949)    -0.096061 -7.21133e-08
log_rec_dev(1950)   -0.0999125  3.03435e-09
log_rec_dev(1951)    -0.103816 -5.43714e-07
log_rec_dev(1952)    -0.107641  -5.3487e-07
log_rec_dev(1953)    -0.111736 -1.21384e-06
log_rec_dev(1954)    -0.115478 -9.15625e-07
log_rec_dev(1955)    -0.118219 -1.04055e-06
log_rec_dev(1956)    -0.121078 -1.21505e-06
log_rec_dev(1957)    -0.122631  -1.1113e-06
log_rec_dev(1958)    -0.121092 -1.05994e-06
log_rec_dev(1959)    -0.115426 -1.87627e-06
log_rec_dev(1960)    -0.106811 -1.62193e-06
log_rec_dev(1961)   -0.0914129 -1.64073e-06
log_rec_dev(1962)   -0.0214169  -1.8347e-06
log_rec_dev(1963)     0.135282 -5.00899e-07
log_rec_dev(1964)     0.234855 -6.95331e-07
log_rec_dev(1965)     0.220277 -6.95183e-07
log_rec_dev(1966)     0.184365 -4.15466e-07
log_rec_dev(1967)     0.162469 -9.81492e-07
log_rec_dev(1968)    0.0752295 -8.89244e-07
log_rec_dev(1969)   -0.0398015 -6.62162e-07
log_rec_dev(1970)    -0.127865  -7.4384e-07
log_rec_dev(1971)    -0.231104 -2.35079e-07
log_rec_dev(1972)    -0.344254 -6.18544e-07
log_rec_dev(1973)    -0.437007 -1.54672e-06
log_rec_dev(1974)    -0.496722 -1.26882e-06
log_rec_dev(1975)     -1.68949  -3.8323e-07
log_rec_dev(1976)     -1.61973 -6.15355e-07
log_rec_dev(1977)     -1.39545 -6.84533e-07
log_rec_dev(1978)    -0.991756 -1.41874e-06
log_rec_dev(1979)     0.960935 -6.31542e-06
log_rec_dev(1980)      1.09202 -3.32199e-06
log_rec_dev(1981)    -0.210117 -3.63283e-07
log_rec_dev(1982)      1.32799 -1.44496e-06
log_rec_dev(1983)      0.83324  2.69129e-07
log_rec_dev(1984)    -0.448521  3.26173e-07
log_rec_dev(1985)     0.217716  4.52424e-07
log_rec_dev(1986)   -0.0224919  7.00399e-07
log_rec_dev(1987)     -1.02327  1.57193e-07
