ParName   Value   Gradient
log_rec_dev(1932)   -0.0472434 -3.94554e-06
log_rec_dev(1933)    -0.048782 -3.15946e-06
log_rec_dev(1934)   -0.0504945 -3.73441e-06
log_rec_dev(1935)   -0.0523992 -4.52032e-06
log_rec_dev(1936)   -0.0544701 -4.19549e-06
log_rec_dev(1937)   -0.0567238  -3.1695e-06
log_rec_dev(1938)   -0.0591778 -3.14265e-06
log_rec_dev(1939)   -0.0618536 -2.98655e-06
log_rec_dev(1940)   -0.0647436 -3.25363e-06
log_rec_dev(1941)   -0.0678711 -2.65285e-06
log_rec_dev(1942)    -0.071278 -2.52194e-06
log_rec_dev(1943)    -0.074965 -4.00544e-06
log_rec_dev(1944)   -0.0789278 -2.36714e-06
log_rec_dev(1945)   -0.0832001 -1.96441e-06
log_rec_dev(1946)   -0.0878282  -1.8193e-06
log_rec_dev(1947)   -0.0928329 -1.83615e-06
log_rec_dev(1948)   -0.0982155 -1.32097e-06
log_rec_dev(1949)    -0.103985  -1.8851e-06
log_rec_dev(1950)    -0.110117 -2.61081e-06
log_rec_dev(1951)    -0.117035 -2.88493e-06
log_rec_dev(1952)    -0.123827 -6.99703e-07
log_rec_dev(1953)    -0.130979 -2.26755e-06
log_rec_dev(1954)    -0.138107 -7.32923e-07
log_rec_dev(1955)    -0.144383 -2.89924e-06
log_rec_dev(1956)     -0.15029 -1.55269e-06
log_rec_dev(1957)    -0.154835 -1.27297e-06
log_rec_dev(1958)    -0.157177 -6.62554e-07
log_rec_dev(1959)    -0.156502  7.34204e-07
log_rec_dev(1960)    -0.153696 -1.03583e-07
log_rec_dev(1961)    -0.142594 -5.88412e-06
log_rec_dev(1962)   -0.0951761 -5.67976e-06
log_rec_dev(1963)    0.0289042 -8.46733e-06
log_rec_dev(1964)     0.135581 -8.81138e-06
log_rec_dev(1965)     0.142967 -1.28273e-06
log_rec_dev(1966)     0.107759  -4.5801e-06
log_rec_dev(1967)    0.0909638  -1.8591e-06
log_rec_dev(1968)     0.049638 -2.74064e-06
log_rec_dev(1969)   -0.0173428 -3.21959e-06
log_rec_dev(1970)   -0.0571435 -4.20836e-06
log_rec_dev(1971)   -0.0987643 -3.57085e-06
log_rec_dev(1972)    -0.149579 -7.19194e-06
log_rec_dev(1973)    -0.182544 -8.63145e-06
log_rec_dev(1974)     -0.20625  -1.2905e-05
log_rec_dev(1975)     -1.04915 -4.70344e-06
log_rec_dev(1976)     -1.08502 -1.67181e-05
log_rec_dev(1977)    -0.970297 -8.30558e-06
log_rec_dev(1978)     -0.40928 -1.62344e-05
log_rec_dev(1979)        1.281 -6.79559e-05
log_rec_dev(1980)    0.0186454 -1.49859e-05
log_rec_dev(1981)     0.234619 -1.49179e-05
log_rec_dev(1982)      1.45148 -3.81932e-05
log_rec_dev(1983)      1.39809 -1.42721e-05
log_rec_dev(1984)    -0.509315  2.20551e-06
log_rec_dev(1985)     0.120573  1.09656e-05
log_rec_dev(1986)    0.0695885  2.02696e-05
log_rec_dev(1987)     -1.24906   6.8417e-06
log_rec_dev(1988)     -1.16337  1.16901e-05
log_rec_dev(1989)    -0.948178   5.2903e-06
log_rec_dev(1990)     -0.67364 -1.33919e-06
log_rec_dev(1991)      0.48878 -5.27239e-07
log_rec_dev(1992)    -0.972777 -2.36273e-06
log_rec_dev(1993)     0.310027 -1.77501e-06
log_rec_dev(1994)     -0.26122  6.79997e-07
log_rec_dev(1995)    -0.541203 -3.97425e-07
log_rec_dev(1996)   -0.0157724 -1.18797e-06
log_rec_dev(1997)     0.487082 -8.54779e-06
log_rec_dev(1998)    -0.493671  -4.8474e-06
log_rec_dev(1999)     0.994215 -1.53854e-05
log_rec_dev(2000)    0.0517807 -2.21994e-06
log_rec_dev(2001)    0.0133721 -5.43762e-06
log_rec_dev(2002)      1.23546 -1.18522e-05
log_rec_dev(2003)   -0.0613466 -4.44585e-06
log_rec_dev(2004)    -0.204094 -2.87277e-06
log_rec_dev(2005)   -0.0351126  7.02326e-06
log_rec_dev(2006)    -0.470432  7.21981e-06
log_rec_dev(2007)    -0.216791  1.90505e-05
log_rec_dev(2008)    -0.163215  1.95543e-05
log_rec_dev(2009)     0.110353  3.78291e-05
log_rec_dev(2010)     0.457382  4.37905e-05
log_rec_dev(2011)    -0.585038  6.09263e-06
log_rec_dev(2012)    -0.178257  8.71344e-06
log_rec_dev(2013)     -1.28031  1.21631e-07
log_rec_dev(2014)    -0.391455  2.17324e-06
log_rec_dev(2015)    0.0546947  5.90638e-06
log_rec_dev(2016)      1.61769  1.97366e-05
log_rec_dev(2017)      0.41889  2.00331e-06
log_rec_dev(2018)      2.39494  1.78048e-05
log_rec_dev(2019)      1.69191  6.36513e-06
log_rec_dev(2020)     0.922821    1.011e-06
log_rec_dev(2021)      2.00284   7.6296e-06
log_rec_dev(2022)    -0.712698 -2.16734e-06
log_mean_rec       3.3394  8.47158e-05
logm     -2.21035 -2.07636e-05
log_avg_F_fish1     -3.18469  5.93508e-05
log_F_devs_fish1(1960)     -2.05222 -7.25319e-06
log_F_devs_fish1(1961)    -0.388237 -6.91664e-07
log_F_devs_fish1(1962)     0.143903  9.50929e-07
log_F_devs_fish1(1963)    -0.737842  7.90251e-07
log_F_devs_fish1(1964)     -1.89414 -5.37013e-06
log_F_devs_fish1(1965)     -3.19618 -4.74522e-06
log_F_devs_fish1(1966)     -1.76578 -7.52495e-06
log_F_devs_fish1(1967)     -1.73982 -7.39866e-06
log_F_devs_fish1(1968)    -0.674085 -2.93258e-06
log_F_devs_fish1(1969)    -0.325239 -1.60388e-06
log_F_devs_fish1(1970)     0.105274 -7.97815e-07
log_F_devs_fish1(1971)     0.170802 -7.04625e-07
log_F_devs_fish1(1972)     0.468203  9.87947e-07
log_F_devs_fish1(1973)     0.337387  1.81619e-06
log_F_devs_fish1(1974)     0.496038  3.72043e-06
log_F_devs_fish1(1975)     0.460009  4.31161e-06
log_F_devs_fish1(1976)     0.610591  6.22516e-06
log_F_devs_fish1(1977)     0.383043  4.42969e-06
log_F_devs_fish1(1978)    -0.294842 -6.23549e-07
log_F_devs_fish1(1979)    -0.134239  3.29503e-08
log_F_devs_fish1(1980)    -0.396234 -4.59336e-06
log_F_devs_fish1(1981)    -0.318237 -1.55333e-06
log_F_devs_fish1(1982)    -0.464372 -4.67319e-06
log_F_devs_fish1(1983)    -0.507012 -6.46331e-06
log_F_devs_fish1(1984)     -0.59096 -1.03221e-05
log_F_devs_fish1(1985)    -0.457504 -4.95649e-06
