ParName   Value   Gradient
log_rec_dev(1932)   -0.0630991  2.83544e-06
log_rec_dev(1933)   -0.0665186  2.57959e-06
log_rec_dev(1934)   -0.0702622  2.81755e-06
log_rec_dev(1935)   -0.0743338  2.77873e-06
log_rec_dev(1936)   -0.0786588  2.43543e-06
log_rec_dev(1937)    -0.083351  2.39608e-06
log_rec_dev(1938)   -0.0884729  2.04153e-06
log_rec_dev(1939)    -0.094003  2.36209e-06
log_rec_dev(1940)   -0.0998864  2.22722e-06
log_rec_dev(1941)    -0.106164  2.54066e-06
log_rec_dev(1942)    -0.112875  2.21234e-06
log_rec_dev(1943)    -0.119925  2.61811e-06
log_rec_dev(1944)      -0.1273  2.53489e-06
log_rec_dev(1945)    -0.134963  2.22458e-06
log_rec_dev(1946)    -0.142826  2.90415e-06
log_rec_dev(1947)     -0.15073  2.46046e-06
log_rec_dev(1948)    -0.158481   2.1983e-06
log_rec_dev(1949)    -0.165794  1.76528e-06
log_rec_dev(1950)    -0.172206  1.93986e-06
log_rec_dev(1951)    -0.177152  2.31025e-06
log_rec_dev(1952)    -0.179878  2.24874e-06
log_rec_dev(1953)    -0.181562  1.94977e-06
log_rec_dev(1954)    -0.178861  1.74971e-06
log_rec_dev(1955)    -0.169351  1.74229e-06
log_rec_dev(1956)    -0.150305  2.13876e-06
log_rec_dev(1957)    -0.120614  2.02082e-06
log_rec_dev(1958)   -0.0773961  1.92503e-06
log_rec_dev(1959)   -0.0182586  1.55284e-06
log_rec_dev(1960)    0.0615238  1.46878e-06
log_rec_dev(1961)     0.166673  1.43405e-06
log_rec_dev(1962)     0.289955  8.72294e-07
log_rec_dev(1963)     0.414599  5.91628e-07
log_rec_dev(1964)     0.494453  1.79022e-06
log_rec_dev(1965)     0.506405  4.52163e-07
log_rec_dev(1966)     0.370064 -1.26551e-06
log_rec_dev(1967)     0.197913  1.18155e-07
log_rec_dev(1968)    0.0450126  7.24892e-07
log_rec_dev(1969)    -0.078731  1.62445e-06
log_rec_dev(1970)    -0.184872  4.90194e-08
log_rec_dev(1971)    -0.272146 -9.85682e-07
log_rec_dev(1972)    -0.329334 -6.31561e-07
log_rec_dev(1973)    -0.353995 -5.83491e-07
log_rec_dev(1974)    -0.339252 -8.26575e-07
log_rec_dev(1975)     -1.20329 -3.30642e-08
log_rec_dev(1976)     -1.15432   9.2928e-07
log_rec_dev(1977)      -1.2863  1.15263e-07
log_rec_dev(1978)     -1.16364  1.55852e-07
log_rec_dev(1979)    0.0589009 -7.10015e-06
log_rec_dev(1980)     0.923627 -1.01537e-05
log_rec_dev(1981)      1.26887 -9.99747e-06
log_rec_dev(1982)    -0.151349 -7.25894e-07
log_rec_dev(1983)      1.24773   -1.086e-05
log_rec_dev(1984)     0.839521 -7.64781e-06
log_rec_dev(1985)    -0.743765 -8.63239e-07
log_rec_dev(1986)    -0.139415  6.85643e-07
log_rec_dev(1987)    -0.050545 -1.83121e-06
log_rec_dev(1988)     -1.28347  1.20896e-06
log_rec_dev(1989)     -1.16103  1.31556e-06
log_rec_dev(1990)    -0.288752  4.38528e-07
log_rec_dev(1991)     0.507958 -2.72245e-06
log_rec_dev(1992)    -0.750354  9.01248e-07
log_rec_dev(1993)     0.579251 -6.16551e-06
log_rec_dev(1994)    -0.630566  3.56845e-07
log_rec_dev(1995)    -0.557623  3.44177e-07
log_rec_dev(1996)   -0.0844265 -3.80208e-06
log_rec_dev(1997)     0.489101 -7.01359e-06
log_rec_dev(1998)    -0.469885 -4.91125e-06
log_rec_dev(1999)     0.958183 -9.79896e-06
log_rec_dev(2000)    0.0610436 -2.32898e-06
log_rec_dev(2001)     0.018123 -5.32073e-06
log_rec_dev(2002)      1.17362 -1.45157e-05
log_rec_dev(2003)    0.0755901  -8.5597e-06
log_rec_dev(2004)    -0.359974  -3.0758e-07
log_rec_dev(2005)    -0.030073 -1.48032e-06
log_rec_dev(2006)    -0.566643  1.18188e-06
log_rec_dev(2007)     -0.26846  5.53264e-07
log_rec_dev(2008)    -0.235812   5.0683e-07
log_rec_dev(2009)    0.0920942  -7.2212e-07
log_rec_dev(2010)     0.403776 -8.53887e-07
log_rec_dev(2011)    -0.592117  1.74027e-06
log_rec_dev(2012)    -0.174563  1.07443e-07
log_rec_dev(2013)     -1.37324  2.08516e-06
log_rec_dev(2014)    -0.456462  8.86711e-07
log_rec_dev(2015)   0.00347735  7.66107e-07
log_rec_dev(2016)      1.48054  8.51052e-07
log_rec_dev(2017)     0.624915  2.14285e-06
log_rec_dev(2018)      2.15602  3.90046e-07
log_rec_dev(2019)      1.90023  2.23492e-06
log_rec_dev(2020)    0.0559807  3.12063e-06
log_rec_dev(2021)       2.1837   2.6443e-06
log_rec_dev(2022)     0.448767   2.6686e-06
log_mean_rec      3.15977 -0.000130698
logm     -2.29202  5.09102e-05
log_avg_F_fish1     -3.02706  2.10543e-05
log_F_devs_fish1(1960)     -2.05247  8.91803e-07
log_F_devs_fish1(1961)    -0.419776  4.58031e-07
log_F_devs_fish1(1962)    0.0976869  4.63921e-07
log_F_devs_fish1(1963)    -0.777243  2.92703e-07
log_F_devs_fish1(1964)      -1.9248  1.07525e-06
log_F_devs_fish1(1965)     -3.21471 -4.03077e-08
