ParName   Value   Gradient
log_rec_dev(1932)    -0.067629  2.84764e-06
log_rec_dev(1933)   -0.0709694   2.4121e-06
log_rec_dev(1934)    -0.074648  1.66005e-06
log_rec_dev(1935)   -0.0786724    4.198e-06
log_rec_dev(1936)   -0.0829889  2.44999e-06
log_rec_dev(1937)      -0.0877  2.99859e-06
log_rec_dev(1938)   -0.0928675  1.29626e-06
log_rec_dev(1939)   -0.0984776  2.89766e-06
log_rec_dev(1940)    -0.104489   1.7501e-06
log_rec_dev(1941)    -0.110942   2.0926e-06
log_rec_dev(1942)     -0.11788  7.53281e-07
log_rec_dev(1943)    -0.125226  2.44577e-06
log_rec_dev(1944)    -0.132975  3.84427e-06
log_rec_dev(1945)    -0.141102 -2.42152e-06
log_rec_dev(1946)    -0.149543  4.25707e-06
log_rec_dev(1947)     -0.15817 -2.16775e-06
log_rec_dev(1948)    -0.166828  3.56179e-06
log_rec_dev(1949)    -0.175286  1.07277e-06
log_rec_dev(1950)    -0.183148  2.01645e-06
log_rec_dev(1951)    -0.189905  1.39382e-06
log_rec_dev(1952)    -0.194831 -1.49009e-06
log_rec_dev(1953)    -0.198825 -2.15631e-06
log_rec_dev(1954)    -0.198859   1.7545e-06
log_rec_dev(1955)    -0.192926  6.99547e-07
log_rec_dev(1956)    -0.178879  2.96584e-06
log_rec_dev(1957)    -0.155209 -2.27075e-06
log_rec_dev(1958)     -0.11746 -1.41946e-06
log_rec_dev(1959)   -0.0615124 -1.43147e-06
log_rec_dev(1960)     0.017891  2.23703e-06
log_rec_dev(1961)      0.12559  3.40522e-06
log_rec_dev(1962)     0.253924  2.11644e-06
log_rec_dev(1963)     0.387322  3.30484e-06
log_rec_dev(1964)     0.479757   6.0546e-06
log_rec_dev(1965)     0.501875 -5.45044e-06
log_rec_dev(1966)     0.361197  4.76866e-06
log_rec_dev(1967)     0.182385  2.08515e-05
log_rec_dev(1968)    0.0246052   6.3851e-06
log_rec_dev(1969)    -0.104002  5.08284e-06
log_rec_dev(1970)    -0.215556  7.62251e-06
log_rec_dev(1971)    -0.308105  7.53933e-06
log_rec_dev(1972)    -0.369935  6.91188e-06
log_rec_dev(1973)    -0.397643  8.58799e-06
log_rec_dev(1974)     -0.38377  6.54942e-06
log_rec_dev(1975)     -1.31876  6.60767e-06
log_rec_dev(1976)     -1.23428  5.96259e-06
log_rec_dev(1977)     -1.26199 -1.75794e-06
log_rec_dev(1978)     -1.04555 -4.24169e-07
log_rec_dev(1979)   -0.0465251  -1.5714e-05
log_rec_dev(1980)      1.61427 -3.73868e-05
log_rec_dev(1981)     0.458648 -3.73437e-06
log_rec_dev(1982)     0.200642 -3.83553e-06
log_rec_dev(1983)      1.38769 -3.40117e-05
log_rec_dev(1984)     0.634523 -2.23214e-05
log_rec_dev(1985)    -0.763354 -6.45294e-06
log_rec_dev(1986)   -0.0659514  -1.1211e-05
log_rec_dev(1987)    -0.132357 -2.74957e-05
log_rec_dev(1988)     -1.43661  8.82171e-07
log_rec_dev(1989)     -1.15588 -2.14338e-05
log_rec_dev(1990)    -0.247172  -5.7752e-06
log_rec_dev(1991)     0.504293 -4.09384e-05
log_rec_dev(1992)    -0.826671 -1.36268e-06
log_rec_dev(1993)     0.592193 -3.13018e-05
log_rec_dev(1994)    -0.761587  5.61261e-06
log_rec_dev(1995)    -0.806954 -2.73441e-06
log_rec_dev(1996)    -0.226396  2.30472e-05
log_rec_dev(1997)     0.472819  7.27061e-06
log_rec_dev(1998)    -0.335449  1.06305e-05
log_rec_dev(1999)     0.976782  5.67097e-06
log_rec_dev(2000)  -0.00741627  5.57673e-07
log_rec_dev(2001)    0.0517322  1.55891e-05
log_rec_dev(2002)      1.21669  6.53412e-05
log_rec_dev(2003)   -0.0409362  1.50889e-05
log_rec_dev(2004)    -0.356439  1.22302e-05
log_rec_dev(2005)   -0.0249659  5.67251e-06
log_rec_dev(2006)    -0.602055 -2.70643e-06
log_rec_dev(2007)    -0.302655 -1.52872e-05
log_rec_dev(2008)    -0.257779 -9.98583e-06
log_rec_dev(2009)    0.0616626    -2.08e-05
log_rec_dev(2010)     0.565306 -2.51391e-05
log_rec_dev(2011)     -0.55356 -3.24635e-06
log_rec_dev(2012)    -0.124973  -6.8744e-06
log_rec_dev(2013)     -1.28124 -4.23673e-06
log_rec_dev(2014)     -0.54086  7.87895e-06
log_rec_dev(2015)    0.0808454  3.74368e-05
log_rec_dev(2016)      1.36321  1.65905e-05
log_rec_dev(2017)      0.64246 -3.01301e-06
log_rec_dev(2018)      2.03458  1.48083e-06
log_rec_dev(2019)      2.03285 -2.13337e-05
log_rec_dev(2020)      1.21276 -1.23596e-06
log_rec_dev(2021)      2.21003  6.24161e-06
log_rec_dev(2022)     0.596787  3.97138e-06
log_mean_rec      3.28584 -0.000187091
logm     -2.23824  8.48328e-05
log_avg_F_fish1     -3.07524   1.2841e-06
log_F_devs_fish1(1960)     -2.03908 -3.44639e-06
