ParName   Value   Gradient
log_rec_dev(1932)   -0.0341292 -5.41037e-06
log_rec_dev(1933)   -0.0352966   8.7515e-08
log_rec_dev(1934)   -0.0365803 -5.83378e-06
log_rec_dev(1935)   -0.0379903 -1.24865e-06
log_rec_dev(1936)   -0.0394527 -3.93363e-06
log_rec_dev(1937)   -0.0410605 -6.33339e-06
log_rec_dev(1938)   -0.0428464 -7.66646e-06
log_rec_dev(1939)   -0.0448088 -5.85637e-06
log_rec_dev(1940)    -0.046913 -5.13971e-06
log_rec_dev(1941)   -0.0491988  7.49253e-07
log_rec_dev(1942)   -0.0516996 -1.59302e-06
log_rec_dev(1943)   -0.0543762 -7.14974e-06
log_rec_dev(1944)   -0.0572514 -5.35681e-06
log_rec_dev(1945)   -0.0603339 -1.48334e-06
log_rec_dev(1946)   -0.0636098 -8.96829e-06
log_rec_dev(1947)   -0.0670375 -9.55033e-06
log_rec_dev(1948)   -0.0705892 -6.09322e-07
log_rec_dev(1949)   -0.0741999 -4.33038e-06
log_rec_dev(1950)   -0.0777344 -5.48259e-06
log_rec_dev(1951)   -0.0810738 -7.37818e-06
log_rec_dev(1952)   -0.0840817 -9.42039e-06
log_rec_dev(1953)   -0.0878502 -8.02817e-06
log_rec_dev(1954)   -0.0908664 -7.52104e-06
log_rec_dev(1955)   -0.0923294 -5.32883e-06
log_rec_dev(1956)   -0.0911619 -6.23862e-06
log_rec_dev(1957)    -0.086149 -4.39667e-06
log_rec_dev(1958)   -0.0742184 -8.21272e-06
log_rec_dev(1959)   -0.0521302 -7.59288e-06
log_rec_dev(1960)   -0.0158658  -9.7885e-07
log_rec_dev(1961)    0.0363698 -8.08538e-06
log_rec_dev(1962)    0.0996469 -1.13932e-05
log_rec_dev(1963)     0.159638 -1.16116e-05
log_rec_dev(1964)      0.19748 -3.39152e-05
log_rec_dev(1965)     0.210382 -2.72654e-05
log_rec_dev(1966)     0.175582 -3.45333e-05
log_rec_dev(1967)      0.10924 -4.32283e-05
log_rec_dev(1968)    0.0282645 -3.16432e-05
log_rec_dev(1969)   -0.0546067 -2.64018e-05
log_rec_dev(1970)    -0.138644   -3.233e-05
log_rec_dev(1971)    -0.217535 -2.96131e-05
log_rec_dev(1972)    -0.280648 -1.80224e-05
log_rec_dev(1973)    -0.321396 -1.10313e-05
log_rec_dev(1974)    -0.330168 -1.11784e-05
log_rec_dev(1975)     -1.22899  3.33636e-06
log_rec_dev(1976)      -1.1929 -1.05914e-05
log_rec_dev(1977)     -1.21659 -1.08984e-05
log_rec_dev(1978)    -0.992199 -4.19461e-06
log_rec_dev(1979)   -0.0576138 -3.46993e-05
log_rec_dev(1980)      1.50765 -6.18164e-05
log_rec_dev(1981)      0.49942 -5.59334e-06
log_rec_dev(1982)      0.25691 -1.54185e-05
log_rec_dev(1983)      1.31169 -5.01571e-05
log_rec_dev(1984)     0.596246 -2.14588e-05
log_rec_dev(1985)    -0.592716 -1.58079e-05
log_rec_dev(1986)   -0.0839135  8.67839e-06
log_rec_dev(1987)    -0.194063   1.2298e-06
log_rec_dev(1988)     -1.30107 -8.87765e-06
log_rec_dev(1989)     -1.12325 -3.13464e-06
log_rec_dev(1990)    -0.301654 -1.77364e-06
log_rec_dev(1991)     0.454145  3.60953e-06
log_rec_dev(1992)    -0.663901  1.70694e-05
log_rec_dev(1993)     0.528149  3.89646e-05
log_rec_dev(1994)    -0.739731  3.73398e-05
log_rec_dev(1995)    -0.802728  1.11415e-05
log_rec_dev(1996)    -0.247079  2.05139e-05
log_rec_dev(1997)     0.423946  1.59178e-05
log_rec_dev(1998)    -0.317455  2.33205e-05
log_rec_dev(1999)     0.933894  9.65415e-05
log_rec_dev(2000)   -0.0516808  9.08442e-05
log_rec_dev(2001)    0.0302058  3.62857e-05
log_rec_dev(2002)      1.15518   0.00012382
log_rec_dev(2003)    -0.072378 -6.24874e-06
log_rec_dev(2004)     -0.41127 -1.24891e-05
log_rec_dev(2005)      -0.1018 -2.53301e-05
log_rec_dev(2006)    -0.643604   -1.062e-05
log_rec_dev(2007)    -0.380079  6.20455e-06
log_rec_dev(2008)    -0.337453  1.71882e-05
log_rec_dev(2009)   0.00499648  4.89606e-05
log_rec_dev(2010)     0.470581  7.53886e-05
log_rec_dev(2011)    -0.535049  3.45164e-05
log_rec_dev(2012)    -0.233161  2.35776e-05
log_rec_dev(2013)     -1.18425  1.11242e-05
log_rec_dev(2014)    -0.644522  3.10559e-06
log_rec_dev(2015)    0.0201414  -2.3253e-05
log_rec_dev(2016)      1.28538 -3.67528e-07
log_rec_dev(2017)     0.596278  4.72406e-05
log_rec_dev(2018)      1.94864  5.33699e-05
log_rec_dev(2019)      1.97221  3.41961e-05
log_rec_dev(2020)      1.10941   3.9072e-06
log_rec_dev(2021)      2.08321  1.51702e-05
log_rec_dev(2022)     0.530066  3.12601e-06
log_mean_rec      3.21274  0.000240449
logm      -2.2898 -8.04037e-05
log_avg_F_fish1     -3.05604   7.9666e-05
log_F_devs_fish1(1960)     -2.21212  4.27258e-06
log_F_devs_fish1(1961)    -0.550671  -3.8177e-06
log_F_devs_fish1(1962)   -0.0240801  1.86076e-07
