ParName   Value   Gradient
log_rec_dev(1932)   -0.0410713 -5.46813e-07
log_rec_dev(1933)   -0.0424219 -1.68971e-07
log_rec_dev(1934)   -0.0439054 -7.89515e-07
log_rec_dev(1935)   -0.0455326  -2.0949e-07
log_rec_dev(1936)   -0.0472248 -8.23848e-07
log_rec_dev(1937)   -0.0490806 -1.74704e-07
log_rec_dev(1938)   -0.0511341 -4.93105e-07
log_rec_dev(1939)   -0.0533842 -1.16836e-06
log_rec_dev(1940)   -0.0557946  -2.2455e-07
log_rec_dev(1941)   -0.0584075  -4.3823e-07
log_rec_dev(1942)   -0.0612567 -5.81835e-07
log_rec_dev(1943)   -0.0642992 -3.68312e-07
log_rec_dev(1944)   -0.0675559  -5.9516e-07
log_rec_dev(1945)   -0.0710274   3.0917e-07
log_rec_dev(1946)   -0.0746868 -8.83908e-07
log_rec_dev(1947)   -0.0784735  1.51872e-07
log_rec_dev(1948)   -0.0823302  3.80807e-09
log_rec_dev(1949)   -0.0861514 -1.60652e-07
log_rec_dev(1950)   -0.0897425  3.96114e-07
log_rec_dev(1951)   -0.0928817  4.76372e-07
log_rec_dev(1952)   -0.0953192  3.62872e-07
log_rec_dev(1953)   -0.0975824   4.3586e-07
log_rec_dev(1954)   -0.0982604  4.23921e-07
log_rec_dev(1955)     -0.09651  1.28968e-06
log_rec_dev(1956)    -0.091194  1.92141e-06
log_rec_dev(1957)   -0.0813589  1.27425e-06
log_rec_dev(1958)   -0.0651458 -7.19425e-07
log_rec_dev(1959)   -0.0417145  1.85422e-06
log_rec_dev(1960)   -0.0105421  2.03922e-06
log_rec_dev(1961)    0.0277366  6.41883e-07
log_rec_dev(1962)    0.0698755  2.09577e-07
log_rec_dev(1963)     0.109084 -9.66993e-07
log_rec_dev(1964)      0.13578 -9.57404e-07
log_rec_dev(1965)     0.164329  2.35209e-07
log_rec_dev(1966)     0.141976 -7.52657e-07
log_rec_dev(1967)    0.0804512 -2.33505e-06
log_rec_dev(1968)    0.0047482 -6.78199e-07
log_rec_dev(1969)   -0.0655195 -1.46385e-06
log_rec_dev(1970)    -0.137903  -1.8568e-06
log_rec_dev(1971)    -0.208448   -2.214e-06
log_rec_dev(1972)    -0.255716 -1.52135e-06
log_rec_dev(1973)    -0.281012  -1.3693e-06
log_rec_dev(1974)    -0.288204 -1.04088e-06
log_rec_dev(1975)     -1.16548  6.98151e-07
